"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00345514","2014","84","27",,"59.9"
"USC00345514","2015",,,,"61.1"
"USC00345514","2016","85","32","33.81","62.1"
"USC00345514","2017","85","32",,"61.4"
"USC00345514","2018","87","27","28.33",
"USC00345514","2019","84","32","32.11","60.0"
"USC00345514","2020",,,,
"USC00345514","2021",,,,"60.9"
"USC00345514","2022","87","31",,"61.5"
"USC00237963","2014","78","22","36.72","49.1"
"USC00237963","2015","79","29","52.88","52.4"
"USC00237963","2016","79","32","34.64","53.7"
"USC00237963","2017","81","33","40.85","53.3"
"USC00237963","2018","79","30","35.55","51.3"
"USC00237963","2019","80","28","61.54","50.4"
"USC00237963","2020","79","32","37.51","52.0"
"USC00237963","2021","80","33","37.17","53.0"
"USC00237963","2022","79","32","33.84","50.8"
"USC00406435","2014",,,"59.66","55.0"
"USC00406435","2016",,,"37.60","61.2"
"USC00406435","2017",,,,
"USC00406435","2018",,,"61.50","60.0"
"USC00128723","2014",,,,
"USC00128723","2015",,,,
"USC00128723","2016",,,,
"USC00128723","2017",,,,
"USC00128723","2018",,,,
"USC00128723","2019",,,,
"USC00128723","2020",,,,
"USC00341270","2014",,,,"59.1"
"USC00341270","2015","85","32",,"60.0"
"USC00341270","2016","84","29",,"61.3"
"USC00341270","2017","85","31",,"60.6"
"USC00341270","2018","86","26","27.96","60.0"
"USC00341270","2019","85","33","30.16","59.4"
"USC00341270","2020","85","33",,"60.7"
"USC00341270","2021","82","27",,"60.5"
"USC00341270","2022",,,"28.19","60.5"
"USC00018998","2014",,,"60.14","58.4"
"USC00018998","2015",,,"67.22","60.7"
"USC00018998","2016",,,"46.48",
"USC00018998","2017",,,"65.04","62.7"
"USC00018998","2018",,,"74.86","61.8"
"USC00018998","2019",,,"82.76","62.2"
"USC00018998","2020",,,"85.15","62.3"
"USC00018998","2021",,,"84.55","61.2"
"USC00018998","2022",,,,
"USC00253652","2014",,,"36.09","45.9"
"USC00253652","2015","76","18",,"49.7"
"USC00253652","2018",,,,"47.9"
"USC00253652","2019",,,,"47.6"
"USC00253652","2020",,,,"50.3"
"USC00253652","2021",,,,"50.9"
"USC00253652","2022",,,,"49.7"
"USC00345870","2014","82","33",,"59.1"
"USC00345870","2015","83","33","53.73","60.7"
"USC00345870","2016","84","27","29.91",
"USC00345870","2017","85","29",,"61.8"
"USC00345870","2018","86","25","32.16","60.1"
"USC00345870","2019","85","32","38.92","59.6"
"USC00345870","2020","83","35",,"60.5"
"USC00345870","2021","81","30",,"60.5"
"USC00345870","2022","89","29",,"61.1"
"USC00172443","2014","70","30","56.93","43.8"
"USC00172443","2015","70","32","44.59","43.4"
"USC00172443","2016","71","32","44.30","45.7"
"USC00172443","2017","69","30","43.35","45.1"
"USC00172443","2018","73","27","59.30","44.5"
"USC00172443","2019","72","23","61.90","43.5"
"USC00172443","2020","71","30","42.46","45.7"
"USC00172443","2021","72","28","53.52","46.5"
"USC00172443","2022","73","29","51.02","45.8"
"USC00348900","2015","87","33",,"62.1"
"USC00348900","2016","89","30","39.11","63.5"
"USC00348900","2017","84","33","42.59","63.1"
"USC00348900","2018","86","28","63.24","61.7"
"USC00348900","2019","85","33","51.32","61.3"
"USC00348900","2020","86","35","44.60","62.1"
