State,Cases,Year
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,1.0,2014
S. ATLANTIC,2.0,2014
S. ATLANTIC,2.0,2014
S. ATLANTIC,2.0,2014
S. ATLANTIC,2.0,2014
S. ATLANTIC,2.0,2014
S. ATLANTIC,3.0,2014
MINNESOTA,38.0,2014
OHIO,4.0,2014
MONTANA,3.0,2014
MICHIGAN,9.0,2014
MARYLAND,1.0,2014
MICHIGAN,11.0,2014
MONTANA,3.0,2014
MARYLAND,2.0,2014
MARYLAND,1.0,2014
MISSOURI,4.0,2014
MISSOURI,4.0,2014
MICHIGAN,19.0,2014
MONTANA,1.0,2014
CALIFORNIA,18.0,2014
NEVADA,1.0,2014
CALIFORNIA,75.0,2014
NEW HAMPSHIRE,1.0,2014
UTAH,16.0,2014
CALIFORNIA,275.0,2014
UTAH,12.0,2014
OHIO,6.0,2014
CALIFORNIA,619.0,2014
NEVADA,7.0,2014
NORTH DAKOTA,4.0,2014
OHIO,2.0,2014
ARIZONA,1672.0,2014
CALIFORNIA,498.0,2014
NEW MEXICO,1.0,2014
NEBRASKA,1.0,2014
MONTANA,1.0,2014
NEBRASKA,1.0,2014
MARYLAND,2.0,2014
UTAH,15.0,2014
MARYLAND,1.0,2014
NEW HAMPSHIRE,1.0,2014
WYOMING,1.0,2014
NEBRASKA,1.0,2014
ARIZONA,675.0,2014
OREGON,1.0,2014
NORTH DAKOTA,1.0,2014
MONTANA,4.0,2014
OHIO,3.0,2014
NEVADA,1.0,2014
ARIZONA,2459.0,2014
UTAH,15.0,2014
MARYLAND,1.0,2014
MICHIGAN,11.0,2014
OREGON,1.0,2014
MISSOURI,3.0,2014
MICHIGAN,10.0,2014
CALIFORNIA,797.0,2014
MONTANA,1.0,2014
NEW HAMPSHIRE,1.0,2014
MONTANA,1.0,2014
MISSOURI,4.0,2014
NORTH DAKOTA,4.0,2014
ARIZONA,1079.0,2014
OHIO,3.0,2014
MARYLAND,1.0,2014
MINNESOTA,57.0,2014
MICHIGAN,14.0,2014
UTAH,9.0,2014
NORTH DAKOTA,4.0,2014
NEVADA,3.0,2014
MISSOURI,3.0,2014
NORTH DAKOTA,1.0,2014
NORTH DAKOTA,6.0,2014
MISSOURI,3.0,2014
OHIO,6.0,2014
UTAH,16.0,2014
UTAH,12.0,2014
CALIFORNIA,910.0,2014
ARIZONA,2920.0,2014
CALIFORNIA,972.0,2014
MONTANA,2.0,2014
MINNESOTA,41.0,2014
NEW MEXICO,2.0,2014
MISSOURI,5.0,2014
MONTANA,1.0,2014
WYOMING,1.0,2014
MINNESOTA,25.0,2014
UTAH,10.0,2014
MARYLAND,1.0,2014
MICHIGAN,5.0,2014
NEBRASKA,1.0,2014
CALIFORNIA,389.0,2014
UTAH,7.0,2014
MONTANA,4.0,2014
OHIO,3.0,2014
CALIFORNIA,362.0,2014
NORTH DAKOTA,5.0,2014
NEW HAMPSHIRE,1.0,2014
NEVADA,22.0,2014
UTAH,3.0,2014
MARYLAND,1.0,2014
OHIO,4.0,2014
MINNESOTA,41.0,2014
UTAH,1.0,2014
NEW MEXICO,2.0,2014
OHIO,5.0,2014
MICHIGAN,2.0,2014
MISSOURI,3.0,2014
MINNESOTA,15.0,2014
MICHIGAN,17.0,2014
CALIFORNIA,9.0,2014
MISSOURI,3.0,2014
OHIO,3.0,2014
UTAH,15.0,2014
NEBRASKA,1.0,2014
ARIZONA,938.0,2014
OHIO,3.0,2014
MISSOURI,3.0,2014
UTAH,3.0,2014
OHIO,5.0,2014
NORTH DAKOTA,1.0,2014
ARIZONA,23.0,2014
NORTH DAKOTA,1.0,2014
MINNESOTA,22.0,2014
ARIZONA,652.0,2014
MISSOURI,3.0,2014
MARYLAND,1.0,2014
OHIO,6.0,2014
NORTH DAKOTA,5.0,2014
MARYLAND,2.0,2014
MONTANA,2.0,2014
NEW MEXICO,4.0,2014
CALIFORNIA,243.0,2014
WYOMING,1.0,2014
MONTANA,1.0,2014
CALIFORNIA,193.0,2014
OHIO,6.0,2014
MISSOURI,1.0,2014
UTAH,2.0,2014
NEW MEXICO,1.0,2014
NEBRASKA,1.0,2014
NEBRASKA,1.0,2014
MARYLAND,2.0,2014
NORTH DAKOTA,5.0,2014
NEVADA,8.0,2014
MINNESOTA,15.0,2014
NEW MEXICO,1.0,2014
NORTH DAKOTA,7.0,2014
NEW HAMPSHIRE,1.0,2014
MICHIGAN,18.0,2014
UTAH,15.0,2014
MICHIGAN,11.0,2014
NEVADA,34.0,2014
NEBRASKA,1.0,2014
MICHIGAN,8.0,2014
ARIZONA,1079.0,2014
OHIO,3.0,2014
NORTH DAKOTA,1.0,2014
NEBRASKA,1.0,2014
CALIFORNIA,323.0,2014
CALIFORNIA,152.0,2014
UTAH,10.0,2014
NEW MEXICO,4.0,2014
ARIZONA,1199.0,2014
CALIFORNIA,414.0,2014
NEBRASKA,1.0,2014
UTAH,6.0,2014
OHIO,1.0,2014
MICHIGAN,11.0,2014
MARYLAND,1.0,2014
CALIFORNIA,448.0,2014
MICHIGAN,13.0,2014
MINNESOTA,29.0,2014
NEW MEXICO,1.0,2014
MARYLAND,1.0,2014
ARIZONA,253.0,2014
ARIZONA,689.0,2014
MONTANA,1.0,2014
NEVADA,30.0,2014
ARIZONA,2635.0,2014
ARIZONA,4.0,2014
MISSOURI,4.0,2014
CALIFORNIA,1007.0,2014
NEBRASKA,1.0,2014
MICHIGAN,6.0,2014
NEBRASKA,1.0,2014
OHIO,2.0,2014
CALIFORNIA,193.0,2014
MONTANA,1.0,2014
UTAH,15.0,2014
LOUISIANA,1.0,2014
OHIO,1.0,2014
MICHIGAN,16.0,2014
MISSOURI,3.0,2014
MICHIGAN,3.0,2014
MONTANA,1.0,2014
NEW MEXICO,2.0,2014
MICHIGAN,6.0,2014
MICHIGAN,11.0,2014
NEBRASKA,1.0,2014
NORTH DAKOTA,5.0,2014
UTAH,9.0,2014
ARIZONA,621.0,2014
NEVADA,8.0,2014
CALIFORNIA,845.0,2014
ARIZONA,549.0,2014
NEVADA,3.0,2014
ARIZONA,764.0,2014
NEW MEXICO,2.0,2014
MONTANA,3.0,2014
UTAH,12.0,2014
ARIZONA,545.0,2014
NEW MEXICO,1.0,2014
OHIO,3.0,2014
ARIZONA,3092.0,2014
CALIFORNIA,126.0,2014
MARYLAND,2.0,2014
NEVADA,30.0,2014
CALIFORNIA,498.0,2014
NEBRASKA,1.0,2014
NEVADA,8.0,2014
NEBRASKA,1.0,2014
UTAH,3.0,2014
MISSOURI,4.0,2014
ARIZONA,510.0,2014
MARYLAND,3.0,2014
NORTH DAKOTA,6.0,2014
MISSOURI,3.0,2014
NEVADA,32.0,2014
ARIZONA,2138.0,2014
MARYLAND,1.0,2014
MISSOURI,1.0,2014
NEBRASKA,1.0,2014
NEVADA,25.0,2014
UTAH,7.0,2014
UTAH,16.0,2014
MARYLAND,1.0,2014
MICHIGAN,11.0,2014
CALIFORNIA,32.0,2014
NEVADA,21.0,2014
CALIFORNIA,699.0,2014
MISSOURI,4.0,2014
ARIZONA,2768.0,2014
OHIO,3.0,2014
OHIO,1.0,2014
MISSOURI,3.0,2014
MONTANA,1.0,2014
MARYLAND,1.0,2014
OREGON,1.0,2014
NEVADA,7.0,2014
NEVADA,22.0,2014
MONTANA,1.0,2014
NEVADA,16.0,2014
MONTANA,1.0,2014
OHIO,3.0,2014
NEW HAMPSHIRE,1.0,2014
OHIO,3.0,2014
NEBRASKA,1.0,2014
ARIZONA,675.0,2014
NEVADA,17.0,2014
NEW HAMPSHIRE,1.0,2014
MINNESOTA,19.0,2014
MICHIGAN,15.0,2014
MISSOURI,3.0,2014
MINNESOTA,41.0,2014
NEVADA,32.0,2014
MISSOURI,3.0,2014
ARIZONA,674.0,2014
MARYLAND,1.0,2014
MONTANA,1.0,2014
WYOMING,1.0,2014
NEVADA,25.0,2014
NEBRASKA,1.0,2014
MISSOURI,3.0,2014
WYOMING,1.0,2014
S. ATLANTIC,3.0,2014
NORTH DAKOTA,6.0,2014
CALIFORNIA,1036.0,2014
OHIO,7.0,2014
OREGON,1.0,2014
ARIZONA,3402.0,2014
WYOMING,1.0,2014
NEW HAMPSHIRE,1.0,2014
MINNESOTA,44.0,2014
LOUISIANA,1.0,2014
NEVADA,34.0,2014
MICHIGAN,20.0,2014
MONTANA,6.0,2014
NEBRASKA,1.0,2014
MARYLAND,3.0,2014
NEW MEXICO,5.0,2014
MISSOURI,4.0,2014
S. ATLANTIC,4.0,2014
MINNESOTA,44.0,2014
UTAH,16.0,2014
CALIFORNIA,1098.0,2014
MONTANA,7.0,2014
MICHIGAN,20.0,2014
ARIZONA,3536.0,2014
NEW HAMPSHIRE,1.0,2014
LOUISIANA,1.0,2014
RHODE ISLAND,2.0,2014
NORTH DAKOTA,7.0,2014
WYOMING,2.0,2014
NEBRASKA,1.0,2014
NEVADA,34.0,2014
OREGON,1.0,2014
MARYLAND,4.0,2014
OHIO,7.0,2014
NEW MEXICO,5.0,2014
MISSOURI,4.0,2014
S. ATLANTIC,4.0,2014
NEVADA,34.0,2014
OREGON,1.0,2014
NEW HAMPSHIRE,1.0,2014
NEW MEXICO,5.0,2014
OHIO,7.0,2014
ARIZONA,3602.0,2014
CALIFORNIA,1122.0,2014
MISSOURI,4.0,2014
UTAH,16.0,2014
MONTANA,7.0,2014
RHODE ISLAND,2.0,2014
LOUISIANA,1.0,2014
WYOMING,2.0,2014
MARYLAND,4.0,2014
MINNESOTA,48.0,2014
NEBRASKA,1.0,2014
NORTH DAKOTA,7.0,2014
MICHIGAN,22.0,2014
S. ATLANTIC,4.0,2014
ARIZONA,3675.0,2014
RHODE ISLAND,2.0,2014
NORTH DAKOTA,7.0,2014
NEW MEXICO,5.0,2014
UTAH,19.0,2014
NEBRASKA,1.0,2014
CALIFORNIA,1152.0,2014
MINNESOTA,49.0,2014
NEVADA,38.0,2014
OHIO,7.0,2014
MISSOURI,4.0,2014
WYOMING,2.0,2014
NEW HAMPSHIRE,1.0,2014
MARYLAND,4.0,2014
LOUISIANA,1.0,2014
MICHIGAN,23.0,2014
OREGON,1.0,2014
MONTANA,7.0,2014
S. ATLANTIC,4.0,2014
NEW HAMPSHIRE,1.0,2014
MISSOURI,4.0,2014
MICHIGAN,25.0,2014
NEBRASKA,1.0,2014
CALIFORNIA,1192.0,2014
ARIZONA,3675.0,2014
OREGON,1.0,2014
WYOMING,2.0,2014
UTAH,19.0,2014
NEVADA,38.0,2014
OHIO,8.0,2014
NEW MEXICO,9.0,2014
MINNESOTA,52.0,2014
MARYLAND,4.0,2014
MONTANA,7.0,2014
LOUISIANA,1.0,2014
RHODE ISLAND,2.0,2014
NORTH DAKOTA,7.0,2014
S. ATLANTIC,4.0,2014
MICHIGAN,25.0,2014
WYOMING,2.0,2014
NEW HAMPSHIRE,1.0,2014
RHODE ISLAND,2.0,2014
OREGON,2.0,2014
CALIFORNIA,1192.0,2014
MONTANA,7.0,2014
NEW MEXICO,9.0,2014
NORTH DAKOTA,7.0,2014
UTAH,20.0,2014
NEVADA,38.0,2014
LOUISIANA,1.0,2014
MISSOURI,4.0,2014
MINNESOTA,56.0,2014
NEBRASKA,1.0,2014
ARIZONA,3831.0,2014
OHIO,8.0,2014
MARYLAND,4.0,2014
NEW HAMPSHIRE,1.0,2014
RHODE ISLAND,2.0,2014
MICHIGAN,25.0,2014
OHIO,8.0,2014
S. ATLANTIC,4.0,2014
MARYLAND,4.0,2014
LOUISIANA,1.0,2014
ARIZONA,3883.0,2014
MONTANA,7.0,2014
NEVADA,39.0,2014
NEW MEXICO,10.0,2014
UTAH,20.0,2014
WYOMING,2.0,2014
